date,image,đường trước nhà,số tầng,số phòng ngủ,số nhà vs,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,huyện
08/12/2020,/files/properties/2020/3/9/thumbnails/20200309_023755_191844_2.jpg,NULL,20,3,3,1,140, ---, _,3000.0,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Hà Đông,Phường La Khê
08/12/2020,/files/properties/2020/10/14/thumbnails/07120546-0313-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,6.0,2,3,3,1,100, ---, _,2300.0,"Phố Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",Đống Đa,Phường Kim Liên
08/12/2020,/files/properties/2020/7/11/thumbnails/06523595-4404-ban-can-ho-chung-cu-quan-cau-giay-chinh-chu.jpg,50.0,10,3,3,1,122, ---, _,2720.0,"Đường Phạm Hùng, Phường Xuân Thủy, Quận Cầu Giấy, Hà Nội",Cầu Giấy,Phường Xuân Thủy
08/12/2020,/files/properties/2020/8/22/thumbnails/06787184-5520-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,30.0,7,2,2,1,110, ---, _,4000.0,"Đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mỹ Đình 1
08/12/2020,/files/properties/2020/8/6/thumbnails/3chung-cu-cao-cap-tang-7-khu-dtm-cau-giay-view-cong-vien-157m2-4-2-ty.jpg,40.0,7,3,4,1,157, ---, _,4200.0,"Phố Duy Tân, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Cầu Giấy,Phường Dịch Vọng
08/12/2020,/files/properties/2020/11/1/thumbnails/07245243-0617-ban-can-ho-chung-cu-ha-noi.jpg,NULL,10,3,3,NULL,89, ---, Tây Nam,4700.0,"Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Phường Mỹ Đình 1
08/12/2020,/files/properties/2020/5/26/thumbnails/06224832-0509-ban-can-ho-chung-cu-quan-ba-dinh.jpg,8.0,18,1,0,1,45, ---, _,3280.0,"Phố Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/9/24/thumbnails/04556019-1556-ban-can-ho-chung-cu-quan-hai-ba-trung-gia-re.jpg,5.0,3,2,2,NULL,40, 5x8m, Đông Bắc,1500.0,"Phố Lê Gia Định, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",Hai Bà Trưng,Phường Đồng Nhân
08/12/2020,/files/properties/2019/6/11/thumbnails/20190611_035814_2928106_0.jpg,20.0,3,1,2,1,24," 3,2x8m", Đông,1250.0,"Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Thượng
08/12/2020,/files/properties/2020/5/28/thumbnails/06236477-4902-ban-can-ho-chung-cu-quan-ba-dinh-chinh-chu.jpg,NULL,9,3,3,NULL,113, ---, _,5500.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/5/28/thumbnails/0chinh-chu-ban-cat-lo-can-goc-b6-giang-vo-the-golden-armor-dt-115m2-3-ngu-gia-chi-5-5ty.jpg,NULL,10,3,3,NULL,115, ---, _,5500.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/5/12/thumbnails/06144989-0444-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,9,2,1,NULL,76, ---, _,3600.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/5/15/thumbnails/06162884-2942-cho-thue-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,9,3,3,NULL,105, ---, _,6000.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/9/9/thumbnails/06895033-5239-ban-can-ho-chung-cu-quan-hoang-mai-chinh-chu.jpg,40.0,2,2,2,1,52, ---, _,1400.0,"Đường Trần Thủ Độ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Hoàng Mai,Phường Hoàng Liệt
